Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,27,2,2,<=6,5,1,-4.903913661258308e-07,5.3995,20.4452,3.79,50,1,1.0,1,1.0,1,1.0,xenium_human_breast_cancer_seed4
Non-Contiguous Random,27,2,2,<=6,5,1,4.826448365510827e-06,5.1744,20.5766,3.98,50,1,1.0,1,0.75,1,0.5488,xenium_human_breast_cancer_seed4
Contiguous Random,28,0,14,<=6,5,19,0.24632231239961921,4.6055,21.3569,4.64,50,0,0.0,1,0.058,1,0.0398,xenium_human_breast_cancer_seed4
Non-Contiguous Random,28,0,14,<=6,5,37,0.3001233849052387,5.0342,21.2207,4.22,50,0,0.0,1,0.0353,1,0.0599,xenium_human_breast_cancer_seed4
Contiguous Random,29,3,2,<=6,5,2,0.06281598212478245,4.7506,20.3882,4.29,50,1,0.25,1,0.3333,1,0.2361,xenium_human_breast_cancer_seed4
Non-Contiguous Random,29,3,2,<=6,5,1,4.469885871438706e-06,5.3288,20.2613,3.8,50,1,0.6667,1,0.5294,1,0.3211,xenium_human_breast_cancer_seed4
Contiguous Random,30,1,5,<=6,6,1,-2.9719166699804234e-07,6.4866,22.2718,3.43,50,1,1.0,1,0.7083,1,0.5116,xenium_human_breast_cancer_seed4
Non-Contiguous Random,30,1,5,<=6,6,1,-2.5076511744326346e-06,9.0506,22.9201,2.53,50,1,1.0,1,1.0,1,0.9375,xenium_human_breast_cancer_seed4
Contiguous Random,31,1,11,<=6,5,3,0.19927895576701266,6.4253,21.116,3.29,50,0,0.0,1,0.5,1,0.5333,xenium_human_breast_cancer_seed4
Non-Contiguous Random,31,1,11,<=6,5,1,-1.3573172554237622e-06,3.8742,21.4624,5.54,50,1,1.0,1,0.6667,1,0.2083,xenium_human_breast_cancer_seed4
Contiguous Random,32,0,9,<=6,5,4,0.230178702658909,3.8064,21.8052,5.73,50,0,0.0,1,0.3333,1,0.0599,xenium_human_breast_cancer_seed4
Non-Contiguous Random,32,0,9,<=6,5,1,3.3127747844918787e-06,6.1582,21.4189,3.48,50,1,0.1429,1,0.2857,1,0.0565,xenium_human_breast_cancer_seed4
