Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,20,3,21,<=6,5,5,0.09760518502689985,5.9353,25.3904,4.28,50,1,0.125,1,0.1176,1,0.0395,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,20,3,21,<=6,5,8,0.19304499179792034,3.8951,25.6135,6.58,50,0,0.0,1,0.025,1,0.0313,xenium_human_pancreatic_cancer_seed1
Contiguous Random,21,2,1,<=6,6,1,5.475557480951604e-07,8.2066,23.4665,2.86,50,1,0.878,1,0.8333,1,0.8305,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,21,2,1,<=6,6,1,0.0,5.125,23.4589,4.58,50,1,0.6667,1,0.6429,1,0.5765,xenium_human_pancreatic_cancer_seed1
Contiguous Random,22,2,25,<=6,5,3,0.023453299818097767,5.5329,25.6586,4.64,50,1,0.1053,1,0.0988,1,0.0733,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,22,2,25,<=6,5,3,0.012164038570642244,5.6211,26.0491,4.63,50,1,0.2,1,0.1034,1,0.0745,xenium_human_pancreatic_cancer_seed1
Contiguous Random,23,2,23,<=6,6,30,0.1051230153620753,6.0677,27.5392,4.54,50,1,0.0154,1,0.0185,1,0.0272,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,23,2,23,<=6,6,20,0.2104274917440518,7.3183,27.6731,3.78,50,0,0.0,1,0.1071,1,0.0349,xenium_human_pancreatic_cancer_seed1
Contiguous Random,24,0,4,<=6,5,1,0.0,4.5786,22.9309,5.01,50,1,0.1805,1,0.1805,1,0.1805,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,24,0,4,<=6,5,1,-1.5053850533977564e-06,5.2909,22.7061,4.29,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Contiguous Random,25,1,4,<=6,5,1,0.0,4.5429,22.6111,4.98,50,1,0.4762,1,0.4423,1,0.4505,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,25,1,4,<=6,5,1,0.0,5.605,22.577,4.03,50,1,0.9667,1,0.9778,1,0.9804,xenium_human_pancreatic_cancer_seed1
Contiguous Random,26,1,17,<=6,4,58,0.24053530072212215,4.9918,23.6093,4.73,50,0,0.0,1,0.0449,1,0.0273,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,26,1,17,<=6,4,21,0.1556417334556579,4.8909,23.6792,4.84,50,0,0.0,1,0.0306,1,0.0438,xenium_human_pancreatic_cancer_seed1
Contiguous Random,27,1,7,<=6,6,1,2.919617197116864e-06,4.9607,25.3407,5.11,50,1,0.6364,1,0.6216,1,0.5,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,27,1,7,<=6,6,3,0.058369825805738795,4.6188,25.5399,5.53,50,1,0.2,1,0.5714,1,0.4545,xenium_human_pancreatic_cancer_seed1
Contiguous Random,28,0,13,<=6,5,3,0.17519220008840247,4.4515,24.6264,5.53,50,0,0.0,1,0.4,1,0.5897,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,28,0,13,<=6,5,1,-2.2635587862973594e-06,5.4106,24.792,4.58,50,1,0.8,1,0.7273,1,0.5385,xenium_human_pancreatic_cancer_seed1
Contiguous Random,29,0,2,<=6,4,1,0.0,4.5261,21.3366,4.71,50,1,0.0615,1,0.0615,1,0.0615,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,29,0,2,<=6,4,1,0.0,4.2257,21.267,5.03,50,1,0.0646,1,0.0646,1,0.0646,xenium_human_pancreatic_cancer_seed1
Contiguous Random,30,2,6,<=6,4,1,-3.083915710445917e-06,5.0826,22.0239,4.33,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,30,2,6,<=6,4,1,-2.1667861938474975e-06,4.5564,22.2096,4.87,50,1,0.8889,1,0.9412,1,0.9318,xenium_human_pancreatic_cancer_seed1
Contiguous Random,31,3,1,<=6,4,2,0.00565,4.0489,21.41,5.29,50,1,0.2514,1,0.2451,1,0.2101,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,31,3,1,<=6,4,1,0.0,4.3545,21.2487,4.88,50,1,0.3133,1,0.2924,1,0.2273,xenium_human_pancreatic_cancer_seed1
Contiguous Random,32,0,3,<=6,6,1,2.562881724621491e-07,4.9512,23.7839,4.8,50,1,0.6667,1,0.8333,1,0.7353,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,32,0,3,<=6,6,1,-3.473718655222502e-07,6.4462,23.8093,3.69,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Contiguous Random,33,0,16,<=6,5,1,4.361358223792244e-06,5.8508,25.6759,4.39,50,1,1.0,1,1.0,1,0.7872,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,33,0,16,<=6,5,1,1.465034807968113e-06,6.555,25.4418,3.88,50,1,1.0,1,1.0,1,1.0,xenium_human_pancreatic_cancer_seed1
Contiguous Random,34,1,12,<=6,4,1,-1.3959884643810483e-06,4.2235,22.1204,5.24,50,1,1.0,1,1.0,1,0.86,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,34,1,12,<=6,4,1,-4.008293152946152e-08,4.3832,22.3305,5.09,50,1,0.5,1,0.5,1,0.8421,xenium_human_pancreatic_cancer_seed1
Contiguous Random,35,0,16,<=6,5,1,2.1700884847986046e-06,4.7883,25.1801,5.26,50,1,1.0,1,0.8571,1,0.7049,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,35,0,16,<=6,5,1,-8.111445544689566e-07,6.6698,25.6888,3.85,50,1,0.5294,1,0.4211,1,0.2018,xenium_human_pancreatic_cancer_seed1
Contiguous Random,36,2,7,<=6,6,1,-2.6265821992943472e-06,5.2678,25.299,4.8,50,1,0.4762,1,0.3768,1,0.2809,xenium_human_pancreatic_cancer_seed1
Non-Contiguous Random,36,2,7,<=6,6,6,0.12198279635569376,4.8371,25.6087,5.29,50,1,0.2353,1,0.3014,1,0.2771,xenium_human_pancreatic_cancer_seed1
