Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,39,14,5,<=6,6,1,0.0,21.3834,110.3731,5.16,50,1,0.0386,1,0.0386,1,0.0386,xenium_human_brain_cancer_seed3
Contiguous Random,40,14,20,<=6,6,19,0.0993153591278158,28.17,135.7655,4.82,50,1,0.0279,1,0.0143,1,0.0073,xenium_human_brain_cancer_seed3
Non-Contiguous Random,40,14,20,<=6,6,13,0.14042278386912876,31.2513,129.7291,4.15,50,1,0.1852,1,0.0781,1,0.0122,xenium_human_brain_cancer_seed3
Contiguous Random,41,1,8,<=6,4,1,0.0,17.6778,100.0499,5.66,50,1,0.0847,1,0.0719,1,0.0631,xenium_human_brain_cancer_seed3
Non-Contiguous Random,41,1,8,<=6,4,1,0.0,18.1944,98.7337,5.43,50,1,0.0209,1,0.0209,1,0.0209,xenium_human_brain_cancer_seed3
Contiguous Random,42,0,23,<=6,4,93,0.19388542048454283,24.6078,109.5869,4.45,50,0,0.0,1,0.0105,1,0.0022,xenium_human_brain_cancer_seed3
Non-Contiguous Random,42,0,23,<=6,4,14,0.06727683025360107,21.2854,109.0477,5.12,50,1,0.0303,1,0.0022,1,0.006,xenium_human_brain_cancer_seed3
Contiguous Random,43,9,11,<=6,4,12,0.16936,16.751,109.125,6.51,50,0,0.0,1,0.0814,1,0.0451,xenium_human_brain_cancer_seed3
Non-Contiguous Random,43,9,11,<=6,4,2,0.011841221499443055,22.3714,103.1714,4.61,50,1,0.2188,1,0.1299,1,0.0653,xenium_human_brain_cancer_seed3
Contiguous Random,44,4,19,<=6,5,5,0.03930679615701582,23.5464,119.251,5.06,50,1,0.1481,1,0.0685,1,0.0176,xenium_human_brain_cancer_seed3
Non-Contiguous Random,44,4,19,<=6,5,1,1.3197939469078435e-07,30.8233,117.7619,3.82,50,1,0.3636,1,0.2063,1,0.0491,xenium_human_brain_cancer_seed3
Contiguous Random,45,6,18,<=6,4,7,0.09250459512948989,26.6859,107.6643,4.03,50,1,0.2941,1,0.0952,1,0.0266,xenium_human_brain_cancer_seed3
Non-Contiguous Random,45,6,18,<=6,4,20,0.2802260554981232,18.8056,105.1214,5.59,50,0,0.0,0,0.0,1,0.0588,xenium_human_brain_cancer_seed3
Contiguous Random,46,6,24,<=6,4,105,0.15900660227298735,15.0297,108.0749,7.19,50,0,0.0,1,0.0071,1,0.0066,xenium_human_brain_cancer_seed3
Non-Contiguous Random,46,6,24,<=6,4,48,0.14978406927347182,22.2953,113.9363,5.11,50,0,0.0,1,0.008,1,0.0063,xenium_human_brain_cancer_seed3
Contiguous Random,47,11,8,<=6,6,2,0.02109,22.5709,109.4847,4.85,50,1,0.8,1,0.7069,1,0.6316,xenium_human_brain_cancer_seed3
Non-Contiguous Random,47,11,8,<=6,6,1,0.0,21.7144,110.0237,5.07,50,1,1.0,1,0.7925,1,0.7385,xenium_human_brain_cancer_seed3
Contiguous Random,48,5,9,<=6,4,1,-2.4313831329392244e-06,16.8364,99.4135,5.9,50,1,0.6667,1,0.4211,1,0.1429,xenium_human_brain_cancer_seed3
Non-Contiguous Random,48,5,9,<=6,4,1,0.0,16.1279,99.094,6.14,50,1,0.0156,1,0.0156,1,0.0156,xenium_human_brain_cancer_seed3
Contiguous Random,49,15,9,<=6,5,1,0.0,18.9326,108.3296,5.72,50,1,0.2119,1,0.1737,1,0.152,xenium_human_brain_cancer_seed3
Non-Contiguous Random,49,15,9,<=6,5,3,0.00672,18.5231,108.0283,5.83,50,1,0.1544,1,0.1211,1,0.0986,xenium_human_brain_cancer_seed3
Contiguous Random,50,2,13,7-12,7,1,3.4128651849041347e-09,30.0182,131.4896,4.38,50,1,0.8,1,0.66,1,0.2952,xenium_human_brain_cancer_seed3
Non-Contiguous Random,50,2,13,7-12,7,1,-4.677179700512957e-06,29.3958,127.8447,4.35,50,1,0.9375,1,0.7353,1,0.4592,xenium_human_brain_cancer_seed3
Contiguous Random,51,1,18,7-12,12,10,0.0376691440758159,35.354,223.0821,6.31,50,1,0.0142,1,0.0072,1,0.0053,xenium_human_brain_cancer_seed3
Non-Contiguous Random,51,1,18,7-12,12,7,0.05023524123813361,32.0433,221.5274,6.91,50,1,0.0231,1,0.0082,1,0.0053,xenium_human_brain_cancer_seed3
Contiguous Random,52,6,5,7-12,8,1,2.2878492827622943e-06,27.1676,120.786,4.45,50,1,1.0,1,0.8889,1,0.5333,xenium_human_brain_cancer_seed3
Non-Contiguous Random,52,6,5,7-12,8,2,0.1709766093830355,25.4741,120.8324,4.74,50,1,0.6667,1,0.9333,1,0.9048,xenium_human_brain_cancer_seed3
Contiguous Random,53,11,16,7-12,10,1,-3.867777332411393e-06,37.1389,174.1842,4.69,50,1,1.0,1,1.0,1,0.9697,xenium_human_brain_cancer_seed3
Non-Contiguous Random,53,11,16,7-12,10,1,-2.0421352424637718e-06,38.7503,173.5507,4.48,50,1,0.75,1,0.75,1,0.6515,xenium_human_brain_cancer_seed3
Contiguous Random,54,14,8,7-12,12,1,0.0,37.3483,157.1451,4.21,50,1,1.0,1,1.0,1,1.0,xenium_human_brain_cancer_seed3
Non-Contiguous Random,54,14,8,7-12,12,1,0.0,37.365,156.3991,4.19,50,1,1.0,1,1.0,1,1.0,xenium_human_brain_cancer_seed3
Contiguous Random,55,8,10,7-12,8,1,3.4726803964796327e-06,26.89,127.5101,4.74,50,1,1.0,1,1.0,1,1.0,xenium_human_brain_cancer_seed3
Non-Contiguous Random,55,8,10,7-12,8,1,-8.440318682301218e-07,25.7168,128.4704,5.0,50,1,1.0,1,1.0,1,1.0,xenium_human_brain_cancer_seed3
Contiguous Random,56,13,16,7-12,10,1,5.347400184874118e-07,39.1153,174.3243,4.46,50,1,0.4211,1,0.25,1,0.1054,xenium_human_brain_cancer_seed3
Non-Contiguous Random,56,13,16,7-12,10,1,-2.8485102472330937e-06,39.5454,173.6687,4.39,50,1,0.44,1,0.2459,1,0.0916,xenium_human_brain_cancer_seed3
Contiguous Random,57,14,4,7-12,11,1,4.112317793125708e-06,37.3194,139.4282,3.74,50,1,1.0,1,1.0,1,1.0,xenium_human_brain_cancer_seed3
Non-Contiguous Random,57,14,4,7-12,11,1,4.112317793125708e-06,37.1104,139.7031,3.76,50,1,1.0,1,1.0,1,1.0,xenium_human_brain_cancer_seed3
Contiguous Random,58,11,4,7-12,7,4,0.031166245004537456,24.2495,112.6174,4.64,50,1,0.3947,1,0.2982,1,0.1293,xenium_human_brain_cancer_seed3
Non-Contiguous Random,58,11,4,7-12,7,1,-3.7549954625473725e-06,26.1582,112.8299,4.31,50,1,0.4615,1,0.3763,1,0.1433,xenium_human_brain_cancer_seed3
Contiguous Random,59,6,18,7-12,7,1,8.416696241630994e-07,32.0836,137.778,4.29,50,1,0.0588,1,0.0276,1,0.0113,xenium_human_brain_cancer_seed3
Non-Contiguous Random,59,6,18,7-12,7,11,0.10550121346134944,29.3504,135.187,4.61,50,1,0.1053,1,0.1284,1,0.0543,xenium_human_brain_cancer_seed3
Contiguous Random,60,5,17,7-12,12,16,0.10948170641814303,46.1665,207.2706,4.49,50,1,0.0349,1,0.0135,1,0.0193,xenium_human_brain_cancer_seed3
Non-Contiguous Random,60,5,17,7-12,12,9,0.14718342228370507,50.9488,208.5424,4.09,50,1,0.0725,1,0.0333,1,0.0239,xenium_human_brain_cancer_seed3
Contiguous Random,61,2,1,7-12,12,1,0.0,40.6723,132.1262,3.25,50,1,0.0169,1,0.0169,1,0.0169,xenium_human_brain_cancer_seed3
Non-Contiguous Random,61,2,1,7-12,12,1,0.0,42.2883,133.3034,3.15,50,1,0.0162,1,0.0162,1,0.0162,xenium_human_brain_cancer_seed3
Contiguous Random,62,3,6,7-12,12,1,-2.7704849483826954e-07,40.1655,147.7144,3.68,50,1,1.0,1,1.0,1,1.0,xenium_human_brain_cancer_seed3
Non-Contiguous Random,62,3,6,7-12,12,1,-2.7704849483826954e-07,40.1867,148.1062,3.69,50,1,1.0,1,1.0,1,1.0,xenium_human_brain_cancer_seed3
Contiguous Random,63,4,15,7-12,9,156,0.290958692855835,33.3712,159.9358,4.79,50,0,0.0,1,0.0203,1,0.0204,xenium_human_brain_cancer_seed3
Non-Contiguous Random,63,4,15,7-12,9,1,1.5082041422420644e-06,36.9986,158.007,4.27,50,1,0.9474,1,0.6522,1,0.2857,xenium_human_brain_cancer_seed3
Contiguous Random,64,3,26,7-12,10,340,0.10832801263499053,35.7261,179.0268,5.01,50,1,0.0072,1,0.0059,1,0.0053,xenium_human_brain_cancer_seed3
Non-Contiguous Random,64,3,26,7-12,10,25,0.053589607548477025,38.65,178.4117,4.62,50,1,0.0068,1,0.0054,1,0.0052,xenium_human_brain_cancer_seed3
Contiguous Random,65,8,6,7-12,8,3,0.00637,26.6225,121.2572,4.55,50,1,0.15,1,0.1416,1,0.1303,xenium_human_brain_cancer_seed3
Non-Contiguous Random,65,8,6,7-12,8,3,0.00637,27.7416,121.8473,4.39,50,1,0.1477,1,0.1412,1,0.1276,xenium_human_brain_cancer_seed3
Contiguous Random,66,14,7,7-12,10,5,0.01071,32.0727,134.7823,4.2,50,1,0.2292,1,0.2319,1,0.2344,xenium_human_brain_cancer_seed3
Non-Contiguous Random,66,14,7,7-12,10,5,0.01071,31.9212,135.409,4.24,50,1,0.2292,1,0.2319,1,0.2344,xenium_human_brain_cancer_seed3
Contiguous Random,67,4,17,7-12,8,2,0.08439045617588997,32.4426,142.1874,4.38,50,1,0.75,1,0.6061,1,0.4381,xenium_human_brain_cancer_seed3
Non-Contiguous Random,67,4,17,7-12,8,3,0.001712353946411449,37.1644,144.5444,3.89,50,1,0.3385,1,0.179,1,0.1027,xenium_human_brain_cancer_seed3
Contiguous Random,68,3,19,7-12,8,913,0.3885730781319078,34.7017,152.4415,4.39,50,0,0.0,0,0.0,1,0.001,xenium_human_brain_cancer_seed3
Non-Contiguous Random,68,3,19,7-12,8,115,0.3566521749506386,29.5609,149.6079,5.06,50,0,0.0,0,0.0,1,0.0193,xenium_human_brain_cancer_seed3
Contiguous Random,69,6,4,7-12,7,1,9.14499636867766e-07,25.9348,111.5277,4.3,50,1,0.7708,1,0.6471,1,0.6234,xenium_human_brain_cancer_seed3
Non-Contiguous Random,69,6,4,7-12,7,2,0.021817077734495066,27.9305,111.2075,3.98,50,1,0.766,1,0.6216,1,0.5904,xenium_human_brain_cancer_seed3
Contiguous Random,70,2,10,7-12,7,1,1.082941689101169e-07,23.81,117.6362,4.94,50,1,0.875,1,0.8409,1,0.7903,xenium_human_brain_cancer_seed3
Non-Contiguous Random,70,2,10,7-12,7,1,1.082941689101169e-07,24.1266,117.9047,4.89,50,1,1.0,1,0.9167,1,0.9245,xenium_human_brain_cancer_seed3
Contiguous Random,71,11,13,7-12,10,1,2.0335066304166816e-06,33.5013,155.8059,4.65,50,1,1.0,1,1.0,1,1.0,xenium_human_brain_cancer_seed3
Non-Contiguous Random,71,11,13,7-12,10,1,1.7905197368106585e-06,32.3653,152.7219,4.72,50,1,1.0,1,0.8889,1,0.8889,xenium_human_brain_cancer_seed3
Contiguous Random,72,6,15,7-12,7,1,-1.3914836036743594e-06,24.578,135.1233,5.5,50,1,0.4091,1,0.2685,1,0.1346,xenium_human_brain_cancer_seed3
Non-Contiguous Random,72,6,15,7-12,7,8,2.784750885359596,30.8338,132.781,4.31,50,0,0.0,0,0.0,0,0.0,xenium_human_brain_cancer_seed3
Contiguous Random,73,14,18,7-12,11,1,2.289166915137031e-06,45.8895,192.6801,4.2,50,1,0.2128,1,0.1434,1,0.0923,xenium_human_brain_cancer_seed3
Non-Contiguous Random,73,14,18,7-12,11,3,0.12263989039622136,41.9669,190.2366,4.53,50,1,0.5455,1,0.5122,1,0.4306,xenium_human_brain_cancer_seed3
Contiguous Random,74,13,10,7-12,9,1,0.0,28.8681,131.1164,4.54,50,1,0.5244,1,0.4845,1,0.495,xenium_human_brain_cancer_seed3
Non-Contiguous Random,74,13,10,7-12,9,1,0.0,29.6923,131.3272,4.42,50,1,0.5488,1,0.5053,1,0.5051,xenium_human_brain_cancer_seed3
Contiguous Random,75,14,11,7-12,12,1,-2.3940767351626757e-06,35.7646,161.9843,4.53,50,1,0.8182,1,0.8788,1,0.8919,xenium_human_brain_cancer_seed3
Non-Contiguous Random,75,14,11,7-12,12,1,-2.3940767351626757e-06,35.6886,161.3502,4.52,50,1,0.8182,1,0.8788,1,0.8919,xenium_human_brain_cancer_seed3
Contiguous Random,76,6,13,7-12,8,2,0.19889965151589462,31.7739,135.6618,4.27,50,1,0.5,1,0.5,1,0.7458,xenium_human_brain_cancer_seed3
Non-Contiguous Random,76,6,13,7-12,8,1,6.016621445503745e-07,33.0065,136.2748,4.13,50,1,1.0,1,1.0,1,0.973,xenium_human_brain_cancer_seed3
Contiguous Random,77,8,26,7-12,8,369,0.24770559244983126,32.178,155.7306,4.84,50,0,0.0,0,0.0,1,0.0017,xenium_human_brain_cancer_seed3
Non-Contiguous Random,77,8,26,7-12,8,5,0.1193527317208325,32.4111,154.3417,4.76,50,1,0.1667,1,0.0164,1,0.0259,xenium_human_brain_cancer_seed3
Contiguous Random,78,14,4,7-12,7,1,5.111040717598048e-07,26.8705,114.3314,4.25,50,1,0.6667,1,0.6452,1,0.7077,xenium_human_brain_cancer_seed3
Non-Contiguous Random,78,14,4,7-12,7,4,0.07104790273612745,25.6199,113.6446,4.44,50,1,0.3958,1,0.2817,1,0.1564,xenium_human_brain_cancer_seed3
Contiguous Random,79,5,10,7-12,9,1,-2.908198039053289e-07,31.1615,132.5733,4.25,50,1,1.0,1,1.0,1,1.0,xenium_human_brain_cancer_seed3
Non-Contiguous Random,79,5,10,7-12,9,1,9.814961751397622e-07,32.037,134.7502,4.21,50,1,0.7692,1,0.7857,1,0.7742,xenium_human_brain_cancer_seed3
