modality,id,x0,y0,x1,y1
Visium,15,2850.141217803955,6257.154465198517,3178.3144835472103,6703.656895685195
Visium,16,3834.661015033722,5810.652034711838,4162.834280776978,6257.154465198517
Visium,17,3506.487749290466,5810.652034711838,3834.661015033722,6257.154465198517
Visium,18,3834.661015033722,5364.149604225158,4162.834280776978,5810.652034711838
Visium,19,3506.487749290466,5364.149604225158,3834.661015033722,5810.652034711838
Visium,20,3178.3144835472103,5810.652034711838,3506.487749290466,6257.154465198517
Visium,21,2850.141217803955,5810.652034711838,3178.3144835472103,6257.154465198517
Visium,22,3178.3144835472103,5364.149604225158,3506.487749290466,5810.652034711838
Visium,23,2850.141217803955,5364.149604225158,3178.3144835472103,5810.652034711838
Visium,24,4819.180812263488,4471.1447432518,5475.52734375,5364.149604225158
Visium,25,4162.834280776978,4471.1447432518,4819.180812263488,5364.149604225158
Visium,26,4819.180812263488,3578.139882278442,5475.52734375,4471.1447432518
Visium,27,4162.834280776978,3578.139882278442,4819.180812263488,4471.1447432518
Visium,28,3834.661015033722,4917.647173738479,4162.834280776978,5364.149604225158
Visium,29,3506.487749290466,4917.647173738479,3834.661015033722,5364.149604225158
Visium,30,3834.661015033722,4471.1447432518,4162.834280776978,4917.647173738479
Visium,31,3506.487749290466,4471.1447432518,3834.661015033722,4917.647173738479
Visium,32,3178.3144835472103,4917.647173738479,3506.487749290466,5364.149604225158
Visium,33,2850.141217803955,4917.647173738479,3178.3144835472103,5364.149604225158
Visium,34,3178.3144835472103,4471.1447432518,3506.487749290466,4917.647173738479
Visium,35,2850.141217803955,4471.1447432518,3178.3144835472103,4917.647173738479
Visium,36,3834.661015033722,4024.642312765121,4162.834280776978,4471.1447432518
Visium,37,3506.487749290466,4024.642312765121,3834.661015033722,4471.1447432518
Visium,38,3834.661015033722,3578.139882278442,4162.834280776978,4024.642312765121
Visium,39,3506.487749290466,3578.139882278442,3834.661015033722,4024.642312765121
Visium,40,3178.3144835472103,4024.642312765121,3506.487749290466,4471.1447432518
Visium,41,2850.141217803955,4024.642312765121,3178.3144835472103,4471.1447432518
Visium,42,3178.3144835472103,3578.139882278442,3506.487749290466,4024.642312765121
Visium,43,2850.141217803955,3578.139882278442,3178.3144835472103,4024.642312765121
Visium,44,2521.9679520606996,6703.656895685195,2850.141217803955,7150.159326171874
Visium,45,2193.794686317444,6703.656895685195,2521.9679520606996,7150.159326171874
Visium,46,2521.9679520606996,6257.154465198517,2850.141217803955,6703.656895685195
Visium,47,2193.794686317444,6257.154465198517,2521.9679520606996,6703.656895685195
Visium,48,1537.4481548309325,6257.154465198517,2193.794686317444,7150.159326171874
Visium,49,2193.794686317444,5364.149604225158,2850.141217803955,6257.154465198517
Visium,50,1537.4481548309325,5364.149604225158,2193.794686317444,6257.154465198517
Visium,51,881.1016233444213,6257.154465198517,1537.4481548309325,7150.159326171874
Visium,52,224.75509185791012,6257.154465198517,881.1016233444213,7150.159326171874
Visium,53,881.1016233444213,5364.149604225158,1537.4481548309325,6257.154465198517
Visium,54,224.75509185791012,5364.149604225158,881.1016233444213,6257.154465198517
Visium,55,2193.794686317444,4471.1447432518,2850.141217803955,5364.149604225158
Visium,56,1537.4481548309325,4471.1447432518,2193.794686317444,5364.149604225158
Visium,57,2193.794686317444,3578.139882278442,2850.141217803955,4471.1447432518
Visium,58,1537.4481548309325,3578.139882278442,2193.794686317444,4471.1447432518
Visium,59,881.1016233444213,4471.1447432518,1537.4481548309325,5364.149604225158
Visium,60,552.9283576011658,4917.647173738479,881.1016233444213,5364.149604225158
Visium,61,552.9283576011658,4471.1447432518,881.1016233444213,4917.647173738479
Visium,62,881.1016233444213,3578.139882278442,1537.4481548309325,4471.1447432518
Visium,63,224.75509185791012,3578.139882278442,881.1016233444213,4471.1447432518
Visium,64,4819.180812263488,2685.135021305084,5475.52734375,3578.139882278442
Visium,65,4162.834280776978,2685.135021305084,4819.180812263488,3578.139882278442
Visium,66,4819.180812263488,1792.130160331726,5475.52734375,2685.135021305084
Visium,67,4162.834280776978,1792.130160331726,4819.180812263488,2685.135021305084
Visium,68,3506.487749290466,2685.135021305084,4162.834280776978,3578.139882278442
Visium,69,3178.3144835472103,3131.637451791763,3506.487749290466,3578.139882278442
Visium,70,2850.141217803955,3131.637451791763,3178.3144835472103,3578.139882278442
Visium,71,3178.3144835472103,2685.135021305084,3506.487749290466,3131.637451791763
Visium,72,2850.141217803955,2685.135021305084,3178.3144835472103,3131.637451791763
Visium,73,3506.487749290466,1792.130160331726,4162.834280776978,2685.135021305084
Visium,74,3178.3144835472103,2238.6325908184053,3506.487749290466,2685.135021305084
Visium,75,2850.141217803955,2238.6325908184053,3178.3144835472103,2685.135021305084
Visium,76,3178.3144835472103,1792.130160331726,3506.487749290466,2238.6325908184053
Visium,77,2850.141217803955,1792.130160331726,3178.3144835472103,2238.6325908184053
Visium,78,4819.180812263488,899.1252993583679,5475.52734375,1792.130160331726
Visium,79,4491.0075465202335,1345.627729845047,4819.180812263488,1792.130160331726
Visium,80,4162.834280776978,1345.627729845047,4491.0075465202335,1792.130160331726
Visium,81,4491.0075465202335,899.1252993583679,4819.180812263488,1345.627729845047
Visium,82,4162.834280776978,899.1252993583679,4491.0075465202335,1345.627729845047
Visium,83,5147.354078006744,452.6228688716888,5475.52734375,899.1252993583679
Visium,84,4819.180812263488,452.6228688716888,5147.354078006744,899.1252993583679
Visium,85,5147.354078006744,6.120438385009765,5475.52734375,452.6228688716888
Visium,86,4819.180812263488,6.120438385009765,5147.354078006744,452.6228688716888
Visium,87,4491.0075465202335,452.6228688716888,4819.180812263488,899.1252993583679
