Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Non-Contiguous Random,44,6,2,<=6,4,1,-1.109390258768883e-06,21.9601,85.6492,3.9,50,1,0.2353,1,0.1481,1,0.0534,xenium_human_lymph_node_5k_seed1
Contiguous Random,45,11,1,<=6,4,5,0.1403378595542908,18.4806,85.5638,4.63,50,0,0.0,1,0.2,1,0.1928,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,45,11,1,<=6,4,6,0.03393108507156373,17.1292,85.047,4.97,50,1,0.1,1,0.1183,1,0.0463,xenium_human_lymph_node_5k_seed1
Contiguous Random,46,1,26,<=6,5,80,0.08732980990900058,27.4494,94.7178,3.45,50,0,0.0,1,0.0064,1,0.0098,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,46,1,26,<=6,5,3,0.01654818079923412,25.1365,95.5888,3.8,50,1,0.125,1,0.0697,1,0.0126,xenium_human_lymph_node_5k_seed1
Contiguous Random,47,5,0,<=6,6,1,1.410573872040466e-06,26.7835,100.2305,3.74,50,1,0.25,1,0.24,1,0.1932,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,47,5,0,<=6,6,1,-4.161620767495489e-06,26.0271,93.3729,3.59,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_5k_seed1
Contiguous Random,48,0,12,<=6,5,9,0.05098882259999754,25.9878,95.6257,3.68,50,1,0.0417,1,0.0592,1,0.0141,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,48,0,12,<=6,5,9,0.07531900111068857,22.2777,96.2736,4.32,50,1,0.1111,1,0.0938,1,0.0151,xenium_human_lymph_node_5k_seed1
Contiguous Random,49,0,40,<=6,4,5,0.04239667714595796,18.5193,85.8692,4.64,50,1,0.125,1,0.1429,1,0.0322,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,49,0,40,<=6,4,1,2.2158956527740248e-06,19.3572,85.8181,4.43,50,1,0.0588,1,0.0391,1,0.0123,xenium_human_lymph_node_5k_seed1
Contiguous Random,50,3,27,7-12,10,1,-1.3768443254957852e-06,41.082,150.6812,3.67,50,1,0.1613,1,0.0359,1,0.0078,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,50,3,27,7-12,10,5,0.02804483889538978,42.4013,149.8995,3.54,50,1,0.0515,1,0.0226,1,0.0076,xenium_human_lymph_node_5k_seed1
Contiguous Random,51,3,24,7-12,8,5,0.047872516181880154,35.8844,123.972,3.45,50,1,0.0976,1,0.0421,1,0.0086,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,51,3,24,7-12,8,4,0.06491509021023989,33.7458,124.7224,3.7,50,1,0.1304,1,0.0659,1,0.0098,xenium_human_lymph_node_5k_seed1
Contiguous Random,52,6,29,7-12,11,56,0.06554361476298787,42.3582,164.6744,3.89,50,1,0.0246,1,0.0186,1,0.0093,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,52,6,29,7-12,11,2,0.010138942718901811,41.1107,163.0707,3.97,50,1,0.0351,1,0.0196,1,0.0095,xenium_human_lymph_node_5k_seed1
Contiguous Random,53,4,39,7-12,9,24,0.06277553513844808,30.3217,135.034,4.45,50,1,0.0278,1,0.0456,1,0.0123,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,53,4,39,7-12,9,13,0.042715822448730456,30.9661,135.5305,4.38,50,1,0.0364,1,0.0284,1,0.0123,xenium_human_lymph_node_5k_seed1
Contiguous Random,54,8,1,7-12,12,1,4.638766744724521e-06,50.8172,183.9471,3.62,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,54,8,1,7-12,12,1,3.46781199311863e-08,49.2881,181.6878,3.69,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_5k_seed1
Contiguous Random,55,7,24,7-12,8,13,0.0646134921955287,29.6541,123.58,4.17,50,1,0.0741,1,0.042,1,0.0112,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,55,7,24,7-12,8,1,7.911078736544397e-07,29.6746,123.6406,4.17,50,1,0.0833,1,0.0556,1,0.0116,xenium_human_lymph_node_5k_seed1
Contiguous Random,56,1,26,7-12,10,3,0.03776435981049575,47.6452,148.8582,3.12,50,1,0.1724,1,0.0747,1,0.0083,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,56,1,26,7-12,10,3,0.04144134573141245,44.1925,150.1203,3.4,50,1,0.1316,1,0.0364,1,0.0077,xenium_human_lymph_node_5k_seed1
Contiguous Random,57,0,22,7-12,7,1,-1.5045900343957364e-06,26.8612,113.5556,4.23,50,1,0.0968,1,0.0528,1,0.0129,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,57,0,22,7-12,7,1,-3.0658838949260137e-06,31.9998,114.0428,3.56,50,1,0.6154,1,0.1129,1,0.015,xenium_human_lymph_node_5k_seed1
Contiguous Random,58,3,39,7-12,12,1,3.418563854107326e-06,46.7874,180.1512,3.85,50,1,0.0645,1,0.0187,1,0.0075,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,58,3,39,7-12,12,9,0.04633506646528346,48.8719,180.4632,3.69,50,1,0.0588,1,0.0173,1,0.0075,xenium_human_lymph_node_5k_seed1
Contiguous Random,59,6,28,7-12,11,75,0.09682076721382782,39.2882,165.2746,4.21,50,1,0.0168,1,0.0126,1,0.0081,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,59,6,28,7-12,11,58,0.08114411787963899,30.5452,166.1806,5.44,50,1,0.0433,1,0.0145,1,0.0078,xenium_human_lymph_node_5k_seed1
Contiguous Random,60,0,32,7-12,12,40,0.07404266666993808,50.6176,181.3359,3.58,50,1,0.0388,1,0.0113,1,0.0076,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,60,0,32,7-12,12,2,0.04031884542540165,47.6042,179.4412,3.77,50,1,0.1074,1,0.0187,1,0.0078,xenium_human_lymph_node_5k_seed1
Contiguous Random,61,9,23,7-12,12,11,0.048819939493029985,51.6696,181.5652,3.51,50,1,0.0453,1,0.0145,1,0.0075,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,61,9,23,7-12,12,1,3.1726645692842226e-06,50.221,181.0901,3.61,50,1,0.0741,1,0.0202,1,0.0074,xenium_human_lymph_node_5k_seed1
Contiguous Random,62,2,1,7-12,11,7,0.10019899598905513,32.8104,159.2791,4.85,50,1,0.1176,1,0.1043,1,0.0155,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,62,2,1,7-12,11,3,0.007300248653851704,36.4701,160.6577,4.41,50,1,0.2286,1,0.0737,1,0.0141,xenium_human_lymph_node_5k_seed1
Contiguous Random,63,10,25,7-12,12,1,3.0678790360338937e-06,53.3146,181.1552,3.4,50,1,0.1892,1,0.0549,1,0.0077,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,63,10,25,7-12,12,17,0.047868481307748345,49.3101,181.8257,3.69,50,1,0.1282,1,0.0339,1,0.0075,xenium_human_lymph_node_5k_seed1
Contiguous Random,64,1,35,7-12,11,3,0.011648968605469268,41.6864,164.0462,3.94,50,1,0.0697,1,0.0179,1,0.0078,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,64,1,35,7-12,11,4,0.022041145731680145,45.0559,163.5974,3.63,50,1,0.0726,1,0.0226,1,0.0079,xenium_human_lymph_node_5k_seed1
Contiguous Random,65,6,30,7-12,12,7,0.03280051460723998,56.257,180.5678,3.21,50,1,0.0964,1,0.0244,1,0.0081,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,65,6,30,7-12,12,12,0.040582289116170456,58.5116,180.408,3.08,50,1,0.0568,1,0.0164,1,0.0076,xenium_human_lymph_node_5k_seed1
Contiguous Random,66,0,4,7-12,11,6,0.10768189573728548,28.836,160.8748,5.58,50,1,0.0909,1,0.0256,1,0.0138,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,66,0,4,7-12,11,11,0.10960176045656356,28.8955,159.8104,5.53,50,1,0.0769,1,0.0286,1,0.0161,xenium_human_lymph_node_5k_seed1
Contiguous Random,67,5,19,7-12,7,3,0.007672374314133035,32.3186,113.4667,3.51,50,1,0.1398,1,0.0475,1,0.0113,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,67,5,19,7-12,7,5,0.04239333238181914,31.8545,113.9808,3.58,50,1,0.2632,1,0.0881,1,0.0136,xenium_human_lymph_node_5k_seed1
Contiguous Random,68,7,0,7-12,9,22,0.10729389350891116,36.0556,134.4883,3.73,50,0,0.0,1,0.0787,1,0.0203,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,68,7,0,7-12,9,5,0.02859252700805659,36.1922,135.9469,3.76,50,1,0.1111,1,0.0461,1,0.0152,xenium_human_lymph_node_5k_seed1
Contiguous Random,69,8,2,7-12,8,8,0.019690960355963183,36.5073,123.7921,3.39,50,1,0.0802,1,0.0274,1,0.0089,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,69,8,2,7-12,8,15,0.09845701505747761,33.9028,124.0408,3.66,50,1,0.0625,1,0.0471,1,0.01,xenium_human_lymph_node_5k_seed1
Contiguous Random,70,8,29,7-12,8,1,-1.3581522201877583e-06,34.3533,123.3219,3.59,50,1,0.141,1,0.0589,1,0.0086,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,70,8,29,7-12,8,2,0.007918569371413386,36.3461,122.4165,3.37,50,1,0.1528,1,0.0578,1,0.0094,xenium_human_lymph_node_5k_seed1
Contiguous Random,71,2,30,7-12,7,2,0.0007755305244271926,33.6888,113.8728,3.38,50,1,0.1277,1,0.0842,1,0.0091,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,71,2,30,7-12,7,34,0.07045580476665886,32.6444,113.6441,3.48,50,1,0.0674,1,0.0316,1,0.0082,xenium_human_lymph_node_5k_seed1
Contiguous Random,72,7,0,7-12,9,4,0.11375905872344971,33.4867,134.8502,4.03,50,0,0.0,1,0.1667,1,0.0423,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,72,7,0,7-12,9,2,0.00024385046641028918,37.7473,132.0603,3.5,50,1,0.25,1,0.2022,1,0.0476,xenium_human_lymph_node_5k_seed1
Contiguous Random,73,7,13,7-12,11,2,0.0033815496151576863,41.7851,165.746,3.97,50,1,0.1311,1,0.0239,1,0.0076,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,73,7,13,7-12,11,5,0.026776208520643163,44.2386,164.8747,3.73,50,1,0.1256,1,0.0255,1,0.0075,xenium_human_lymph_node_5k_seed1
Contiguous Random,74,8,28,7-12,10,11,0.03444928949165221,44.096,147.9462,3.36,50,1,0.023,1,0.0148,1,0.0078,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,74,8,28,7-12,10,35,0.04302361221098738,45.7812,148.7221,3.25,50,1,0.0185,1,0.0119,1,0.0076,xenium_human_lymph_node_5k_seed1
Contiguous Random,75,11,30,7-12,10,9,0.09251196883249835,28.7829,147.0787,5.11,50,0,0.0,1,0.1607,1,0.0463,xenium_human_lymph_node_5k_seed1
Non-Contiguous Random,75,11,30,7-12,10,1,-2.4845039259258073e-07,40.0217,144.8664,3.62,50,1,0.3929,1,0.2016,1,0.0355,xenium_human_lymph_node_5k_seed1
Contiguous Random,76,10,10,7-12,8,1,4.52559192198887e-06,28.2418,123.8861,4.39,50,1,0.0638,1,0.0385,1,0.0108,xenium_human_lymph_node_5k_seed1
