Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,37,2,13,<=6,6,8,0.10094141094021414,6.5669,30.1394,4.59,50,1,0.1429,1,0.1111,1,0.0336,xenium_human_lymph_node_seed2
Non-Contiguous Random,37,2,13,<=6,6,7,0.08826311915360618,8.5586,30.2625,3.54,50,1,0.0667,1,0.0731,1,0.0312,xenium_human_lymph_node_seed2
Contiguous Random,38,0,6,<=6,6,1,-1.634270384798242e-06,6.9948,28.5796,4.09,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
Non-Contiguous Random,38,0,6,<=6,6,1,-1.3097553379359805e-06,8.0641,28.5786,3.54,50,1,0.5833,1,0.5682,1,0.3906,xenium_human_lymph_node_seed2
Contiguous Random,39,4,4,<=6,4,1,-4.8050832748280925e-06,5.8184,25.0316,4.3,50,1,0.25,1,0.1839,1,0.0777,xenium_human_lymph_node_seed2
Non-Contiguous Random,39,4,4,<=6,4,1,1.2474226951594836e-06,5.0977,24.8758,4.88,50,1,0.8333,1,0.7,1,0.3235,xenium_human_lymph_node_seed2
Contiguous Random,40,0,15,<=6,6,1,3.1980315313706598e-06,7.1783,30.148,4.2,50,1,0.5455,1,0.3878,1,0.075,xenium_human_lymph_node_seed2
Non-Contiguous Random,40,0,15,<=6,6,2,0.061700261856540095,11.1971,30.2157,2.7,50,1,0.4286,1,0.4091,1,0.0853,xenium_human_lymph_node_seed2
Contiguous Random,41,1,18,<=6,5,15,0.07604102998955956,4.5138,28.497,6.31,50,1,0.051,1,0.0441,1,0.0266,xenium_human_lymph_node_seed2
Non-Contiguous Random,41,1,18,<=6,5,2,0.051737596498212135,6.507,28.1762,4.33,50,1,0.0606,1,0.0746,1,0.0421,xenium_human_lymph_node_seed2
Contiguous Random,42,0,2,<=6,6,1,2.4555029432844072e-06,6.7269,27.4401,4.08,50,1,1.0,1,1.0,1,1.0,xenium_human_lymph_node_seed2
