Case,Tile,Niche,Block_Index,Length_Bin,Query_Length,rank,dist_gap,spindle_time_ms,brute_force_time_ms,speedup,retrieved,recall_at_eps_0.05,overlap_at_eps_0.05,recall_at_eps_0.1,overlap_at_eps_0.1,recall_at_eps_0.25,overlap_at_eps_0.25,Dataset
Contiguous Random,28,2,5,<=6,4,4,0.03591669242858886,2.8028,9.3735,3.34,50,1,0.1579,1,0.1163,1,0.1202,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,28,2,5,<=6,4,1,-1.0075664520492467e-06,3.0965,9.2914,3.0,50,1,0.2,1,0.2941,1,0.2545,xenium_human_skin_melanoma_seed1
Contiguous Random,29,1,14,<=6,5,1,-1.7001168143293555e-06,2.2632,10.0673,4.45,50,1,0.6667,1,0.7,1,0.6486,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,29,1,14,<=6,5,2,0.024465591653653418,3.8603,9.9948,2.59,50,1,0.375,1,0.3158,1,0.1797,xenium_human_skin_melanoma_seed1
Contiguous Random,30,1,4,<=6,5,1,-2.2804505273588127e-06,3.1461,9.7258,3.09,50,1,0.8,1,0.9375,1,0.8545,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,30,1,4,<=6,5,1,-1.500763345818612e-06,2.6921,9.4847,3.52,50,1,1.0,1,1.0,1,1.0,xenium_human_skin_melanoma_seed1
Contiguous Random,31,2,9,<=6,5,1,1.4470282302392334e-06,2.3054,9.9717,4.33,50,1,1.0,1,0.6667,1,0.4412,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,31,2,9,<=6,5,6,0.16772571489072002,2.9359,10.1363,3.45,50,0,0.0,1,0.3636,1,0.4054,xenium_human_skin_melanoma_seed1
Contiguous Random,32,0,14,<=6,4,30,0.1357924195384979,2.0784,9.3556,4.5,50,1,0.0323,1,0.085,1,0.0829,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,32,0,14,<=6,4,30,0.1357924195384979,2.022,9.3818,4.64,50,1,0.0323,1,0.085,1,0.0829,xenium_human_skin_melanoma_seed1
Contiguous Random,33,0,10,<=6,6,6,0.1649091927386147,3.1089,10.7759,3.47,50,0,0.0,1,0.1667,1,0.0714,xenium_human_skin_melanoma_seed1
Non-Contiguous Random,33,0,10,<=6,6,31,0.24106984047664648,2.6442,10.7381,4.06,50,0,0.0,0,0.0,1,0.0741,xenium_human_skin_melanoma_seed1
Contiguous Random,34,1,17,<=6,5,2,0.05048887989026196,2.8783,9.8831,3.43,50,1,0.6667,1,0.8333,1,0.641,xenium_human_skin_melanoma_seed1
